Genre, Title, Author
Literary Fiction,The Goldfinch,Donna Tartt
Literary Fiction,Normal People,Sally Rooney
Literary Fiction,A Little Life,Hanya Yanagihara
Literary Fiction,The Road,Cormac McCarthy
Literary Fiction,The Kite Runner,Khaled Hosseini
Literary Fiction,The Night Circus,Erin Morgenstern
Literary Fiction,The Amazing Adventures of Kavalier & Clay,Michael Chabon
Literary Fiction,White Teeth,Zadie Smith
Literary Fiction,The Brief Wondrous Life of Oscar Wao,Junot Díaz
Literary Fiction,Shuggie Bain,Douglas Stuart
Science Fiction & Fantasy,The Name of the Wind,Patrick Rothfuss
Science Fiction & Fantasy,The Martian,Andy Weir
Science Fiction & Fantasy,The Three-Body Problem,Liu Cixin
Science Fiction & Fantasy,Good Omens,Neil Gaiman & Terry Pratchett
Science Fiction & Fantasy,The Fifth Season,N.K. Jemisin
Science Fiction & Fantasy,Project Hail Mary,Andy Weir
Science Fiction & Fantasy,The Hunger Games,Suzanne Collins
Science Fiction & Fantasy,American Gods,Neil Gaiman
Science Fiction & Fantasy,Children of Blood and Bone,Tomi Adeyemi
Science Fiction & Fantasy,The Way of Kings,Brandon Sanderson
Mystery/Thriller,Gone Girl,Gillian Flynn
Mystery/Thriller,The Girl with the Dragon Tattoo,Stieg Larsson
Mystery/Thriller,The Da Vinci Code,Dan Brown
Mystery/Thriller,The Silent Patient,Alex Michaelides
Mystery/Thriller,Big Little Lies,Liane Moriarty
Mystery/Thriller,Shutter Island,Dennis Lehane
Mystery/Thriller,The Reversal,Michael Connelly
Mystery/Thriller,The Woman in the Window,A.J. Finn
Mystery/Thriller,The Girl on the Train,Paula Hawkins
Mystery/Thriller,The Lincoln Lawyer,Michael Connelly
Romance,The Notebook,Nicholas Sparks
Romance,Me Before You,Jojo Moyes
Romance,Outlander,Diana Gabaldon
Romance,The Fault in Our Stars,John Green
Romance,The Time Traveler's Wife,Audrey Niffenegger
Romance,The Rosie Project,Graeme Simsion
Romance,It Ends With Us,Colleen Hoover
Romance,The Hating Game,Sally Thorne
Romance,People We Meet on Vacation,Emily Henry
Romance,Red White & Royal Blue,Casey McQuiston
Young Adult,The Hunger Games,Suzanne Collins
Young Adult,The Fault in Our Stars,John Green
Young Adult,The Hate U Give,Angie Thomas
Young Adult,Divergent,Veronica Roth
Young Adult,The Perks of Being a Wallflower,Stephen Chbosky
Young Adult,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz
Young Adult,Shadow and Bone,Leigh Bardugo
Young Adult,The Book Thief,Markus Zusak
Young Adult,Miss Peregrine's Home for Peculiar Children,Ransom Riggs
Young Adult,They Both Die at the End,Adam Silvera
Children's Literature,Harry Potter and the Philosopher's Stone,J.K. Rowling
Children's Literature,The Lightning Thief,Rick Riordan
Children's Literature,Wonder,R.J. Palacio
Children's Literature,Coraline,Neil Gaiman
Children's Literature,Diary of a Wimpy Kid,Jeff Kinney
Children's Literature,The Tale of Despereaux,Kate DiCamillo
Children's Literature,The Graveyard Book,Neil Gaiman
Children's Literature,The One and Only Ivan,Katherine Applegate
Children's Literature,The Invention of Hugo Cabret,Brian Selznick
Children's Literature,The Wild Robot,Peter Brown
Reference,The Elements of Style,William Strunk Jr. & E.B. White
Reference,On Writing Well,William Zinsser
Reference,The Chicago Manual of Style,University of Chicago Press
Reference,Oxford Dictionary of English,Oxford Languages
Reference,The Visual Display of Quantitative Information,Edward Tufte
Reference,The Design of Everyday Things,Don Norman
Reference,Thinking Fast and Slow,Daniel Kahneman
Reference,A Short History of Nearly Everything,Bill Bryson
Reference,The Dictionary of Body Language,Joe Navarro
Reference,The Art of War (Annotated Edition),Sun Tzu
Travel,Into the Wild,Jon Krakauer
Travel,Wild,Cheryl Strayed
Travel,Eat Pray Love,Elizabeth Gilbert
Travel,The Alchemist,Paulo Coelho
Travel,In Patagonia,Bruce Chatwin
Travel,The Geography of Bliss,Eric Weiner
Travel,The Art of Travel,Alain de Botton
Travel,Tracks,Robyn Davidson
Travel,The Lost City of Z,David Grann
Travel,Turn Right at Machu Picchu,Mark Adams
